,ADA-BNB,ADA-BTC,ADA-ETH,ADA-USDT,BNB-BTC,BNB-ETH,BNB-USDT,BTC-USDT,EOS-BNB,EOS-BTC,EOS-ETH,EOS-USDT,ETH-BTC,ETH-USDT,LINK-BTC,LINK-ETH,LTC-BNB,LTC-BTC,LTC-ETH,LTC-USDT,TRX-BTC,TRX-ETH,XLM-BNB,XLM-BTC,XLM-ETH,XLM-USDT,XMR-BTC,XMR-ETH,XRP-BNB,XRP-BTC,XRP-ETH,XRP-USDT
10,-0.00027081922816507564,-0.0004933399111989312,1.8680592164144194e-05,-9.199632014711412e-05,-4.413354830995475e-05,1.1413570735641088e-05,1.0516187124998133e-05,1.4674393550073717e-05,-0.00018018018018040038,-0.00011948858883970015,-3.8558676680677806e-05,-2.6600696938272606e-05,-3.891656288912415e-05,-3.136566090533588e-05,-7.895464055918122e-05,2.991423588616371e-06,-0.0002916302128900261,-0.00011543345261433302,-3.126465530722822e-05,-0.00011337868480731927,-0.0013192612137202797,-5.934189839951198e-05,-0.0002299908003677853,-0.0002763194252554113,7.22235523487047e-06,4.4061599162037446e-05,-8.784258608585116e-05,2.8636884306765253e-05,-0.00021119324181628762,-0.00013232764324455637,-9.455281247516822e-06,-2.4619020655203272e-05
11,0.0008216926869351049,0.000843170320404818,0.000303585150973229,0.00040371417036744184,0.00020191253233559084,0.00026615969581755827,0.00028680630500861344,0.0001917424819081863,0.0005980861244019309,0.0002770083102492382,0.0002339181286550307,0.00027535882697127256,0.00014212984415078465,0.00026131435146614683,0.0003431120260766196,0.0004367029480212281,0.000694444444444331,0.0002145462347133975,0.0002409902772820163,0.00035087719298254605,0.0017667844522968323,0.00028345775983123025,0.0006686726847207058,0.0005514199062586211,0.0003140950137416887,0.00033831645320570036,0.00022331398069252995,0.0003507731627590549,0.0007127583749109156,0.0003213367609256057,0.00022201347232888628,0.00024231252700048815
12,0.0012755102040815647,0.0011061946902655162,0.0006578183647412139,0.0007346189164370021,0.0004055954141008571,0.0005563894500732143,0.0005806451612901942,0.000376803203177767,0.0010373443983402453,0.0004524886877828038,0.000465519007159099,0.0005594358174545461,0.00028631923736242024,0.0005115837170210913,0.0007239819004525305,0.0009726694310356444,0.0012919896640826156,0.00041987403778875887,0.0005175394107093125,0.0006511829824180637,0.0025706940874035134,0.000538502961766163,0.0012353915000901364,0.0009825113083630323,0.0006870902614048572,0.0006375009960952749,0.00042378867071590776,0.0007450454477722101,0.000860585197934638,0.00044286979627972123,0.0004863634710106979,0.0004879455756715783
13,0.0017482517482516613,0.0016515276630884035,0.0010209639383824132,0.0011111111111110628,0.0006306868810919693,0.0008611403122549712,0.0008952551477170445,0.0005752539908900015,0.0013876040703053594,0.0006861848124428693,0.0007122507122507837,0.0008686587908270926,0.00044919093801558684,0.000782572833406703,0.001154476049187192,0.0015324467449646662,0.0017421602787455193,0.0006268282490595745,0.0008092447767912961,0.0009433962264151496,0.0029239766081872176,0.0008027829810008935,0.0017563066097761434,0.0012674271229404788,0.001071811361200492,0.0009628114093154228,0.0006620762711864181,0.0011788321742199903,0.0013790657815715883,0.0006627637247320628,0.0007665060383724056,0.0007590324865902609
14,0.0023446658851113966,0.001872659176029856,0.0014047535575626435,0.0015285845307246894,0.0008862196256755664,0.0011913571514907688,0.001247871981294126,0.0007962893480247593,0.0018921475875117721,0.0008815750808113254,0.0009799400507264355,0.0012194430264875768,0.0006313344452128171,0.0010928159838415443,0.0016457105729874581,0.002154857588980708,0.002014968336212064,0.0008587376556463688,0.0011132893477435737,0.001297681691876342,0.003717472118959231,0.001101431861419755,0.002331002331002363,0.0013943112102621225,0.0014735578235005597,0.0013260087137716425,0.0009302325581395099,0.0016501650165017256,0.0016934801016088574,0.0008938148015729119,0.0010578444748788663,0.001065532844104937
15,0.002870524248375972,0.002081165452653355,0.001818181818181941,0.002009377093101117,0.0011974177426072874,0.0015590650096459768,0.0016662339112057944,0.0010568112594213641,0.0024038461538460343,0.001160092807424462,0.0012841240453264624,0.001632682679050701,0.0008455178745181424,0.0014563522659127859,0.0022317767293400514,0.0028784642182302367,0.0025706940874035134,0.0011343380327337726,0.001465374615930104,0.001706142111601805,0.004784688995215447,0.0014486844910232,0.0028935185185183787,0.0015923566878981443,0.0019105087533995424,0.0017683465959328348,0.0012475687570897565,0.0021701494720929304,0.0021818181818182847,0.0011385199240987465,0.0013897587864852845,0.0014273175383354708
16,0.003515624999999911,0.0022883295194509046,0.0022786593197166027,0.0026032422198556393,0.0015940900250960067,0.0019993401085248506,0.002178221889683174,0.0013761061493203555,0.003028773346794411,0.001520527116066983,0.0016498099132056243,0.002143904915936412,0.001110850541251729,0.0019015516336581065,0.002961608286858032,0.003727728834353618,0.0030651340996170617,0.0014788762694013117,0.001859293531951734,0.002220107833809104,0.005244755244755206,0.0018752467429925535,0.003558718861209842,0.0021208907741250282,0.0024123103427706764,0.002300477791541189,0.001626016260162455,0.002752370096472001,0.002719238613188235,0.0014831294030404063,0.0017753724957458431,0.001876599284093628
17,0.0042149631190728344,0.0031847133757962887,0.0028654084584653905,0.0033834586466165995,0.0021352313167258942,0.0025784046722644232,0.0028735632183907955,0.00180081713892446,0.003808487486398393,0.0019897669130186646,0.002113253115970215,0.002817505282822542,0.0014701078079058627,0.002499052194579689,0.003941544972082146,0.004843424961222898,0.003705815279361646,0.0019306558448034786,0.002336188675047257,0.0028925853063519105,0.0055248618784529135,0.002425900176008225,0.004497751124437732,0.0027247956403269047,0.0030266673937939803,0.0030198446937015344,0.002129525241137298,0.003405497445876815,0.003454231433505983,0.0019086245973993776,0.0022450084386842484,0.002480663406837325
18,0.005443886097152628,0.004053271569195216,0.003685121875416142,0.0045317220543807935,0.0029733792455151737,0.0034348549858151944,0.0039048089446628307,0.002436043868229066,0.004950495049504955,0.002704791344667834,0.0027865434987898634,0.0038309441423629575,0.0020134981469345013,0.003394037959599318,0.005428984586584964,0.0064568223159307435,0.005025125628140614,0.0026189436927104293,0.003014048531289948,0.003899626992200922,0.00588235294117645,0.0032392026578074162,0.005700510853540929,0.0034732272069464276,0.0038984326455584035,0.004112687641373514,0.002865329512893977,0.004298284419061105,0.004515624063337069,0.002589331952356444,0.002925069038090469,0.0033986474770246744
19,0.007552870090634434,0.0057034220532321545,0.0051893095768373865,0.00668565739761362,0.004622380279264431,0.005076889002466456,0.0058379765716102434,0.0037244697680040746,0.00700700700700696,0.004138216428719144,0.004072584563994444,0.005830013280212487,0.0030960926310617657,0.005138074396382157,0.00831467860569246,0.00947803635997358,0.006825938566553003,0.003935815924916541,0.004258835494533431,0.005803830528148657,0.007246376811594235,0.004791396818613921,0.007795100222717233,0.005194805194805419,0.005493381650575492,0.0062092631297948064,0.004273504273504258,0.005878252350358881,0.006509078451524486,0.0039394839974630546,0.004201680672268759,0.005221560416663973
20,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
